year,nest,social,EPP,condition,mass,tarsus,wing,notch,tail,asym,functional,ornament
2013,FT1368,ID175198109,y,-1.1,34.9,19.2,110.5,9.7,116,0,67.3,48.7
2013,WM1362,ID175198111,n,-3.26,37.4,18.55,115,9.2,170,0,70,100
2014,WM1411,ID175198111,y,-0.09,35.7,18.73,115.5,9.5,172,3,70.5,100
2013,FT1386,ID175198136,y,-3.26,30.7,18.1,111,9.7,155,,69.2,76.1
2013,WM1363,ID175198166,y,-4.31,33.8,18.7,105,9.4,175,5,74,98.5
2014,WM1416,ID175198166,n,-4.31,33.8,18.7,105,9.4,175,5,74,98.5
2014,WM1446,ID175198166,y,-4.31,33.8,18.7,105,9.4,175,5,74,98.5
2014,WM1406,ID175198188,n,-10.95,34.5,18.9,111.5,8.9,149,,68,76.1
2014,WM1460,ID175198188,y,-10.95,34.5,18.9,111.5,8.9,149,,68,76.1
2013,WM1306,ID175198224,y,-3.23,33,17.2,112,11.1,168,14,71.8,88.2
2013,WM1357,ID175198224,y,-3.23,33,17.2,112,11.1,168,14,71.8,88.2
2014,WM1408,ID175198224,n,-3.23,33,17.2,112,11.1,168,14,71.8,88.2
2014,WM1461,ID175198224,y,-3.23,33,17.2,112,11.1,168,14,71.8,88.2
2013,FT1324,ID175198233,n,-4.31,39,19.7,114.5,11.7,163,1,67.3,95.2
2013,FT1333,ID175198234,n,-2.23,36.4,19.2,114,11.5,111,7,64.7,72.8
2013,FT1383,ID175198236,y,3.51,39.6,18.1,106.5,9.1,119,11,64.3,48.2
2013,WM1337,ID175198254,n,-2.85,35.4,18.4,108.5,8.7,109,0,67,42
2013,FT1348,ID175198262,n,-1.54,34.2,19.3,113,9,132,2,68.8,62.2
2013,WM1344,ID175198278,y,-1.58,35.7,19,110.5,10.5,161,16,71.2,80.8
2013,FT1374,ID175198284,y,-3.86,34.6,18.4,113,8.5,158,2,69.3,87.7
2013,FT1377,ID175198284,y,-3.86,34.6,18.4,113,8.5,158,2,69.3,87.7
2013,WM1347,ID175198292,y,-1.55,35.9,18.5,110.5,12.3,152,,68.5,76.1
2014,WM1405,ID175198292,y,-1.55,35.9,18.5,110.5,12.3,152,,68.5,76.1
2014,WM1451,ID175198292,y,-1.55,35.9,18.5,110.5,12.3,152,,68.5,76.1
2010,WM1027,ID230104601,y,-0.36,37.6,19,113,10.5,160,0,75,85
2009,FT0911,ID230104612,n,-0.6,32.8,18.2,111.5,10.5,140,5,71.5,66
2009,FT0901,ID230104614,y,1.18,34,19.1,113,10.5,165,0,75.8,89.2
2010,FT1014,ID230104614,y,1.18,34,19.1,113,10.5,165,0,75.8,89.2
2009,FT0930,ID230104630,y,-1.5,32.2,17.6,108,10.4,156,0,65,91
2009,FT0901,ID230104633,y,-2.51,35.4,18.65,114.5,10.5,170,1,70,99.5
2009,FT0905,ID230104639,y,0.88,35,18.7,112.35,10.4,151,3,69.8,79.7
2010,FT1002,ID230104654,n,-7.75,34,19.4,106.5,10.4,149,,69.7,76.1
2009,FT0935,ID230104664,y,-0.18,36.6,19.4,111,10.1,135,0,67.2,67.8
2010,FT1020,ID230104669,y,1.65,37.2,19.2,120,10.5,170,1,65.2,104.3
2010,FT1015,ID230104676,y,-6.64,36.8,18.2,119,12.9,181,1,77.5,103
2010,FT1013,ID230104696,y,-2.4,33.5,18,116,12.6,171,4,72.8,96.2
2010,FT1038,ID230104696,y,-2.4,33.5,18,116,12.6,171,4,72.8,96.2
2010,WM1021,ID230104719,y,-2.14,35.4,18.5,112,8.7,156,0,71.2,84.8
2010,WM1052,ID230104735,y,-6.32,34.9,18.9,113,11.3,161,2,76.2,83.8
2010,FT1032,ID230104740,n,-2.22,33.6,18.7,110,8.7,116,2,63,52
2011,FT1136,ID230104756,y,0.76,35,19.1,117,10.5,159,5,76,76.1
2011,FT1108,ID230104756,y,-1.63,36.5,19.1,120,13.4,168,9,76.7,86.8
2011,FT1101,ID230104768,n,-2.95,36.5,18.8,112.5,10.7,156,,69.7,76.1
2012,WM1220,ID230104774,y,-4.36,37,18.1,114.5,12.2,167,3,75.3,90.2
2011,WM1151,ID230104783,y,1.96,36.5,18.9,113.5,14.6,173,2,70.7,101.3
2011,WM1117,ID230104784,n,1.71,33.5,18.5,113.5,10,148,0,71,77
2011,FT1118,ID230104796,n,0.9,37.5,19,117,17,144,0,73.8,70.2
2012,WM1204,ID230104811,n,-1.9,35.22,17.7,116,10.8,166,3,74,90.5
2011,WM1140,ID230104811,n,-3.86,36.5,18.4,114.5,10.9,167,1,73.5,93
2011,WM1127,ID230104816,y,0.6,33.5,18.7,112.5,11,155,1,68.3,86.2
2012,WM1228,ID230104816,y,0.6,33.5,18.7,112.5,11,155,1,68.3,86.2
2013,WM1303,ID230104816,n,1.96,36.5,18.7,113.5,11,159,0,69.7,89.3
2013,WM1350,ID230104816,y,1.96,36.5,18.7,113.5,11,159,0,69.7,89.3
2011,WM1146,ID230104820,n,1.6,34.5,18.7,116,12.1,157,,74.2,76.1
2011,FT1122,ID230104832,n,0.41,35.5,18.9,112,7.1,119,3,68.7,48.8
2012,FT1246,ID230104832,y,0.41,35.5,18.9,112,7.1,119,3,68.7,48.8
2013,FT1314,ID230104832,y,0.32,38.8,19.2,113,9.7,164,4,72.3,76.1
2013,FT1380,ID230104832,y,0.32,38.8,19.2,113,9.7,164,4,72.3,76.1
2011,FT1129,ID230104841,n,2.34,36.5,19.2,112.5,11.4,158,,71.2,76.1
2011,WM1143,ID230104846,n,0.37,33,17.7,116.5,9.7,149,1,72.5,76
2011,FT1133,ID230104855,y,-1.99,34.5,19.1,114,13.2,147,2,71.8,74.2
2011,FT1134,ID230104864,y,0.05,31.5,17.2,111.5,10,153,6,66.7,84.3
2011,WM1153,ID230104877,n,-0.35,33.5,18.6,111,12.2,149,0,68,81
2011,WM1154,ID230104886,n,-5.23,34,18.5,114,11.4,162,1,74.3,87.2
2011,FT1137,ID230104889,n,5.22,33.5,18.3,110,9,173,,72.3,76.1
2012,FT1220,ID230104898,y,-2.45,36.6,19.1,113.5,10.2,168,18,70,72
2008,FT0810,ID233143006,y,3.37,33.3,19.6,113.75,10.4,161,1,69.7,76.1
2008,FT0808,ID233143008,y,0.17,37.4,18.05,116,10.5,170,5,69.7,76.1
2008,FT0812,ID233143009,n,5.59,31.9,18.75,116,10.5,179,3,69.7,76.1
2009,FT0927,ID233143015,y,1.48,35.2,17.9,115,10.5,167,3,73.2,92.3
2008,WM0849,ID233143021,n,0.69,37.5,18.6,114,10.5,171,5,69.7,76.1
2013,WM1328,ID253192011,y,1.27,34.3,18.4,107.5,9.9,108,1,62.7,44.8
2014,WM1401,ID253192012,y,6.83,35.9,19.1,112.5,11.7,160,1,71.7,87.8
2013,FT1344,ID253192018,y,-13.54,36.4,18.5,108.5,7.6,119,1,65,53.5
2014,WM1402,ID253192040,y,-4.86,33.6,19,110.5,10,146,5,65.2,78.3
2013,WM1364,ID253192040,y,2.14,34.3,19,111,11.3,148,1,64.8,82.7
2013,WM1342,ID253192050,y,4.82,36.8,19.5,116.5,8.1,127,,69.5,76.1
2013,WM1360,ID253192050,n,4.82,36.8,19.5,116.5,8.1,127,,69.5,76.1
2013,FT1338,ID253192077,y,2.2,31.5,18.5,110,8.9,116,,64.2,76.1
2013,FT1346,ID253192091,n,-0.41,34.5,18.8,101,7.6,114,0,64.5,49.5
2014,FT1452,ID253192091,y,-1.81,35,18.8,109,9.3,146,1,67.3,78.2
2013,WM1352,ID253192095,y,1.74,35,19,112,9.1,124,,67.3,76.1
2012,FT1250,ID253192146,y,-0.35,36.4,19.7,111,10.6,141,,67.5,76.1
2012,FT1245,ID253192153,y,-2.21,31.3,19.3,108,9,121,1,63.8,56.7
2013,FT1335,ID253192153,y,3.72,31.6,19.4,110.5,11.4,158,10,67.7,85.3
2012,FT1253,ID253192166,y,-0.13,30.1,19,117.5,14.3,199,,82.8,76.1
2013,FT1307,ID253192176,y,1.65,39.1,18.5,113,12.1,165,,69.2,76.1
2013,WM1322,ID253192180,y,1,35.7,17.9,113.5,11.5,141,1,68,72.5
2013,WM1366,ID253192180,y,1,35.7,17.9,113.5,11.5,141,1,68,72.5
2014,WM1418,ID253192180,n,0.65,32.5,17.8,112.5,11.4,151,,70.8,76.1
2013,WM1325,ID253192196,y,0.73,37.5,18.2,112,12.2,159,1,68,90.5
2013,WM1332,ID253192200,y,-1.73,36,19.2,113,10.5,164,4,70,76.1
2012,FT1203,ID253192325,y,-0.86,26.4,18.9,110.5,10.6,137,,63.2,76.1
2012,FT1231,ID253192333,y,0.87,34.9,18.7,115.5,10.3,156,0,70.5,85.5
2013,FT1320,ID253192333,y,0.87,34.9,18.7,115.5,10.3,156,0,70.5,85.5
2014,FT1448,ID253192333,y,-0.35,33.3,18.7,116.5,12.2,161,1,70.8,89.7
2012,FT1212,ID253192338,y,2.27,34.3,19.1,114.5,10.4,148,3,67.7,78.8
2012,FT1208,ID253192345,n,-0.14,35.9,19.3,113.5,11.9,164,4,71,76.1
2012,FT1252,ID253192345,n,-0.14,35.9,19.3,113.5,11.9,164,4,71,76.1
2013,FT1342,ID253192345,n,-0.14,35.9,19.3,113.5,11.9,164,4,71,76.1
2012,FT1239,ID253192366,y,1.45,36.2,18.2,110.5,9.6,165,2,68.8,95.2
2012,FT1244,ID253192381,y,1.01,32.2,18.8,111.5,11.6,159,,67.3,76.1
2012,WM1241,ID253192396,y,0.59,34,18.1,110,11.2,150,,69.3,76.1
2012,FT1243,ID253192400,y,0.52,32.1,18.1,108,9.9,147,8,67.7,75.3
2014,WM1445,ID253192410,n,-0.72,34.5,18.3,109,9.7,160,4,73.3,84.7
2014,WM1447,ID253192418,n,-0.08,37.2,18.6,111.5,11.2,165,2,70.3,93.7
2014,WM1431,ID253192419,y,-4.54,35.5,18.7,114,10.4,115,3,64.3,49.2
2014,WM1422,ID253192442,y,1.46,37.6,20.2,110.5,8.2,118,1,66,51.5
2014,WM1427,ID253192445,n,1.59,31.6,18.1,108.5,9.6,111,1,64.2,46.3
2014,WM1428,ID253192446,y,4.05,36.6,18.8,111.5,9.5,152,3,68.2,82.3
2014,WM1417,ID253192457,y,-1.03,35.9,18,107.5,11,125,,68.5,76.1
2014,WM1430,ID253192465,y,-1.31,37.3,18.8,113,9.9,125,2,69.5,54.5
2014,FT1426,ID253192476,y,1.42,35.5,18.8,110,9.5,138,0,66,72
2014,FT1429,ID253192479,y,-0.5,32.9,18,109,8,122,1,65.3,56.2
2014,FT1444,ID253192486,y,5.09,33.3,17.7,113,12,159,2,73.7,84.3
2014,FT1454,ID253192497,y,4.5,35.8,19.1,108,11.8,154,,69.2,76.1
2014,FT1456,ID264163012,y,7.15,36.3,19.4,109.5,7.4,118,2,68.3,48.7
2014,FT1445,ID264163022,y,-2.35,33.7,18.3,111.5,6.6,120,0,68.8,51.2
2014,WM1457,ID264163033,y,5.78,30.9,18.3,108.5,5.1,108,5,64.7,40.8
2014,WM1448,ID264163049,y,1.73,33.3,19.1,111,10.5,146,0,70.3,75.7
2014,WM1463,ID264163055,y,7.53,35.2,18.2,111,9.3,128,,69.5,76.1
2014,FT1458,ID264163072,y,-0.28,37,18.7,111.5,8.5,128,,69.3,76.1
2014,WM1464,ID264163084,y,7.19,39.3,19.1,115,9,128,7,71.3,53.2